대단원	중단원	소단원	상타	중타	하타	Chunk
Ⅱ.문자와 식	문자의 사용과 식의 계산	2 일차식의 덧셈과 뺄셈	1. 다항식과 일차식	⑴ 항	⑴ 항	⑴ 항: 수 또는 문자의 곱으로 이루어진 식
Ⅱ.문자와 식	문자의 사용과 식의 계산	2 일차식의 덧셈과 뺄셈	1. 다항식과 일차식	⑵ 상수항	⑵ 상수항	⑵ 상수항: 수로만 이루어진 항
Ⅱ.문자와 식	문자의 사용과 식의 계산	2 일차식의 덧셈과 뺄셈	1. 다항식과 일차식	⑶ 계수	⑶ 계수	⑶ 계수: 수와 문자의 곱으로 이루어진 항에서 문자 앞에 곱해진 수
Ⅱ.문자와 식	문자의 사용과 식의 계산	2 일차식의 덧셈과 뺄셈	1. 다항식과 일차식	⑷ 단항식	⑷ 단항식	⑷ 단항식: 하나의 항으로만 이루어진 식
Ⅱ.문자와 식	문자의 사용과 식의 계산	2 일차식의 덧셈과 뺄셈	1. 다항식과 일차식	⑸ 다항식	⑸ 다항식	⑸ 다항식: 하나 또는 2개 이상의 항의 합으로 이루어진 식
Ⅱ.문자와 식	문자의 사용과 식의 계산	2 일차식의 덧셈과 뺄셈	1. 다항식과 일차식	⑹ 차수	⑹ 차수	⑹ 차수: 어떤 항에서 곱해진 문자의 개수
Ⅱ.문자와 식	문자의 사용과 식의 계산	2 일차식의 덧셈과 뺄셈	1. 다항식과 일차식	⑺ 다항식의 차수	⑺ 다항식의 차수	⑺ 다항식의 차수: 다항식에서 차수가 가장 큰 항의 차수
Ⅱ.문자와 식	문자의 사용과 식의 계산	2 일차식의 덧셈과 뺄셈	1. 다항식과 일차식	⑻ 일차식	⑻ 일차식	⑻ 일차식: 차수가 1인 다항식 
Ⅱ.문자와 식	문자의 사용과 식의 계산	2 일차식의 덧셈과 뺄셈	1. 다항식과 일차식	⑻ 일차식	⑻ 일차식	예 3x-1, ;5:Ó
Ⅱ.문자와 식	문자의 사용과 식의 계산	2 일차식의 덧셈과 뺄셈	2. 일차식과 수의 곱셈, 나눗셈	⑴ 단항식과 수의 곱셈, 나눗셈	⑴ 단항식과 수의 곱셈, 나눗셈	⑴ 단항식과 수의 곱셈, 나눗셈
