대단원	중단원	소단원	상타	중타	하타	Chunk
Ⅴ.평면도형과 입체도형	원과 부채꼴	1 부채꼴의 중심각과 호의 관계	1. 원과 부채꼴	⑴ 원 O	⑴ 원 O	⑴ 원 O: 평면 위의 한 점 O로부터 일정한 거리에있는 모든 점으로 이루어진 도형A
Ⅴ.평면도형과 입체도형	원과 부채꼴	1 부채꼴의 중심각과 호의 관계	1. 원과 부채꼴	⑵ 호 AB(µAB)	⑵ 호 AB(µAB)	⑵ 호 AB(µAB): 원 O 위의 두 점 A, B를 양 끝점으로 하는 원의 일부분
Ⅴ.평면도형과 입체도형	원과 부채꼴	1 부채꼴의 중심각과 호의 관계	1. 원과 부채꼴	⑶ 현 AB(ABÓ)	⑶ 현 AB(ABÓ)	⑶ 현 AB(ABÓ): 원 위의 두 점 A, B를 이은 선분참고 원의 중심을 지나는 현은 지름이며, 지름은 길이가가장 긴 현이다.
Ⅴ.평면도형과 입체도형	원과 부채꼴	1 부채꼴의 중심각과 호의 관계	1. 원과 부채꼴	⑷ 할선 CD	⑷ 할선 CD	⑷ 할선 CD: 원 위의 두 점 C, D를 지나는 직선
Ⅴ.평면도형과 입체도형	원과 부채꼴	1 부채꼴의 중심각과 호의 관계	1. 원과 부채꼴	⑸ 부채꼴 AOB	⑸ 부채꼴 AOB	⑸ 부채꼴 AOB: 원 O에서 두 반지름 OA, OB와 호AB로 이루어진 도형
Ⅴ.평면도형과 입체도형	원과 부채꼴	1 부채꼴의 중심각과 호의 관계	1. 원과 부채꼴	⑹ 중심각(∠AOB)	⑹ 중심각(∠AOB)	⑹ 중심각(∠AOB): 부채꼴 AOB에서 두 반지름OA, OB가 이루는 각
Ⅴ.평면도형과 입체도형	원과 부채꼴	1 부채꼴의 중심각과 호의 관계	1. 원과 부채꼴	⑺ 활꼴	⑺ 활꼴	⑺ 활꼴: 원 O에서 호 CD와 현 CD로 이루어진 도형참고 반원은 활꼴이면서 중심각의 크기가 180ù인 부채꼴이다.`ABOCP`ABBD`CDABOCDµAB는 보통 짧은 쪽의 호를 나타낸다. 길이가 긴 쪽의 호는 호위에 한 점 P를 잡아 A¨ PB로나타낸다.원 O에서 ∠AOB를 호 AB에 대한 중심각이라 하고, 호AB를 ∠AOB에 대한 호라고 한다.
Ⅴ.평면도형과 입체도형	원과 부채꼴	1 부채꼴의 중심각과 호의 관계	2. 중심각의 크기와 호의 길이, 넓이 사이의 관계한 원 또는 합동인 두 원에서	⑴ 중심각의 크기가 같은 두 부채꼴의 호의 길이와 넓이는 각각 같다.	⑴ 중심각의 크기가 같은 두 부채꼴의 호의 길이와 넓이는 각각 같다.	⑴ 중심각의 크기가 같은 두 부채꼴의 호의 길이와 넓이는 각각 같다.
Ⅴ.평면도형과 입체도형	원과 부채꼴	1 부채꼴의 중심각과 호의 관계	2. 중심각의 크기와 호의 길이, 넓이 사이의 관계한 원 또는 합동인 두 원에서	⑵ 부채꼴의 호의 길이와 넓이는 각각 중심각의 크기에 정비례한다.AOBC∠AOB=∠BOC이면	⑵ 부채꼴의 호의 길이와 넓이는 각각 중심각의 크기에 정비례한다.AOBC∠AOB=∠BOC이면	⑵ 부채꼴의 호의 길이와 넓이는 각각 중심각의 크기에 정비례한다.AOBC∠AOB=∠BOC이면
Ⅴ.평면도형과 입체도형	원과 부채꼴	1 부채꼴의 중심각과 호의 관계	2. 중심각의 크기와 호의 길이, 넓이 사이의 관계한 원 또는 합동인 두 원에서	⑵ 부채꼴의 호의 길이와 넓이는 각각 중심각의 크기에 정비례한다.AOBC∠AOB=∠BOC이면	⑵ 부채꼴의 호의 길이와 넓이는 각각 중심각의 크기에 정비례한다.AOBC∠AOB=∠BOC이면	① Aµ B=µ`BC
Ⅴ.평면도형과 입체도형	원과 부채꼴	1 부채꼴의 중심각과 호의 관계	2. 중심각의 크기와 호의 길이, 넓이 사이의 관계한 원 또는 합동인 두 원에서	⑵ 부채꼴의 호의 길이와 넓이는 각각 중심각의 크기에 정비례한다.AOBC∠AOB=∠BOC이면	⑵ 부채꼴의 호의 길이와 넓이는 각각 중심각의 크기에 정비례한다.AOBC∠AOB=∠BOC이면	② (부채꼴 AOB의 넓이)=(부채꼴 BOC의 넓이)
