대단원	중단원	소단원	상타	중타	하타	Chunk
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	1. 양수와 음수	⑴ 부호의 사용	⑴ 부호의 사용	⑴ 부호의 사용: 서로 반대의 성질을 가지는 두 수량에 대하여 그 기준점을0으로 정하여 한쪽에는 양의 부호 ‘+’를, 다른 한쪽에는 음의 부호 ‘-’를 사용하여 나타낸다.
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	1. 양수와 음수	⑵ 양수	⑵ 양수	⑵ 양수: 0보다 큰 수로 양의 부호 +를 붙인 수
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	1. 양수와 음수	⑶ 음수	⑶ 음수	⑶ 음수: 0보다 작은 수로 음의 부호 -를 붙인 수
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	2. 정수와 유리수	⑴ 정수	⑴ 정수	⑴ 정수: 양의 정수, 0, 음의 정수를 통틀어 정수라고 한다.
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	2. 정수와 유리수	⑴ 정수	① 양의 정수	① 양의 정수: 자연수에 양의 부호 +를 붙인 수
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	2. 정수와 유리수	⑴ 정수	② 음의 정수	② 음의 정수: 자연수에 음의 부호 -를 붙인 수
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	2. 정수와 유리수	⑵ 유리수	⑵ 유리수	⑵ 유리수: 양의 유리수(양수), 0, 음의 유리수(음수)를 통틀어 유리수라고한다.
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	2. 정수와 유리수	⑵ 유리수	① 양의 유리수(양수)	① 양의 유리수(양수): 양의 부호 +가 붙은 유리수
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	2. 정수와 유리수	⑵ 유리수	② 음의 유리수(음수)	② 음의 유리수(음수): 음의 부호 -가 붙은 유리수
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	3. 수직선과 절댓값	⑴ 수직선	⑴ 수직선	⑴ 수직선: 직선 위에 기준이 되는 점(원점)을 정하여 수 0을 대응시키고 양수를 오른쪽에, 음수를 왼쪽에 나타낸 직선
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	3. 수직선과 절댓값	⑵ 절댓값	⑵ 절댓값	⑵ 절댓값: 수직선 위에서 어떤 수에 대응하는 점과 원점 사이의 거리를 절댓값이라 하고, 이것을 기호 | |를 사용하여 나타낸다.O-
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	3. 수직선과 절댓값	⑵ 절댓값	⑵ 절댓값	3 -
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	3. 수직선과 절댓값	⑵ 절댓값	⑵ 절댓값	2 -
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	3. 수직선과 절댓값	⑵ 절댓값	⑵ 절댓값	1 0 +
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	3. 수직선과 절댓값	⑵ 절댓값	⑵ 절댓값	1 +
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	3. 수직선과 절댓값	⑵ 절댓값	⑵ 절댓값	2 +3`3` `3`-
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	3. 수직선과 절댓값	⑵ 절댓값	⑵ 절댓값	3 -
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	3. 수직선과 절댓값	⑵ 절댓값	⑵ 절댓값	2 -
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	3. 수직선과 절댓값	⑵ 절댓값	⑵ 절댓값	1 0 +
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	3. 수직선과 절댓값	⑵ 절댓값	⑵ 절댓값	1 +
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	3. 수직선과 절댓값	⑵ 절댓값	⑵ 절댓값	2 +3|-3|=|+3|=3
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	4. 수의 대소 관계	⑴ 양수는 0보다 크고, 음수는 0보다 작다.	⑴ 양수는 0보다 크고, 음수는 0보다 작다.	⑴ 양수는 0보다 크고, 음수는 0보다 작다.
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	4. 수의 대소 관계	⑵ 두 양수에서는 절댓값이 큰 수가 더 크다.	⑵ 두 양수에서는 절댓값이 큰 수가 더 크다.	⑵ 두 양수에서는 절댓값이 큰 수가 더 크다.
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	4. 수의 대소 관계	⑶ 두 음수에서는 절댓값이 큰 수가 더 작다.	⑶ 두 음수에서는 절댓값이 큰 수가 더 작다.	⑶ 두 음수에서는 절댓값이 큰 수가 더 작다.
Ⅰ.수와 연산	정수와 유리수	1 정수와 유리수	4. 수의 대소 관계	⑷ 부등호의 사용x>ax는 a 초과이다.x는 a보다 크다.x<ax는 a 미만이다.x는 a보다 작다.x¾axÉax는 a 이상이다.x는 a 이하이다.x는 a보다 크거나 같다. x는 a보다 작거나 같다.x는 a보다 작지 않다. x는 a보다 크지 않다.서로 반대되는 성질의 수량+-이익 손해영상 영하증가 감소지상 지하해발 해저⋮⋮	⑷ 부등호의 사용x>ax는 a 초과이다.x는 a보다 크다.x<ax는 a 미만이다.x는 a보다 작다.x¾axÉax는 a 이상이다.x는 a 이하이다.x는 a보다 크거나 같다. x는 a보다 작거나 같다.x는 a보다 작지 않다. x는 a보다 크지 않다.서로 반대되는 성질의 수량+-이익 손해영상 영하증가 감소지상 지하해발 해저⋮⋮	⑷ 부등호의 사용x>ax는 a 초과이다.x는 a보다 크다.x<ax는 a 미만이다.x는 a보다 작다.x¾axÉax는 a 이상이다.x는 a 이하이다.x는 a보다 크거나 같다. x는 a보다 작거나 같다.x는 a보다 작지 않다. x는 a보다 크지 않다.서로 반대되는 성질의 수량+-이익 손해영상 영하증가 감소지상 지하해발 해저⋮⋮
