대단원	중단원	소단원	상타	중타	하타	Chunk
Ⅴ.평면도형과 입체도형	원과 부채꼴	2 부채꼴의 호의 길이와 넓이	1. 원주율	⑴ 원주율	⑴ 원주율	⑴ 원주율: 원의 지름의 길이에 대한 원의 둘레의 길이(원주)의 비의 값즉,(원주율)=(원의(원의둘레의지름의길이)길이)
Ⅴ.평면도형과 입체도형	원과 부채꼴	2 부채꼴의 호의 길이와 넓이	1. 원주율	⑵ 원주율은 기호로는 ‘p’로 나타내며 ‘파이’라고 읽는다.	⑵ 원주율은 기호로는 ‘p’로 나타내며 ‘파이’라고 읽는다.	⑵ 원주율은 기호로는 ‘p’로 나타내며 ‘파이’라고 읽는다.
Ⅴ.평면도형과 입체도형	원과 부채꼴	2 부채꼴의 호의 길이와 넓이	1. 원주율	⑶ 원의 크기에 상관없이 원주율은 항상 일정하고, 그 값은	⑶ 원의 크기에 상관없이 원주율은 항상 일정하고, 그 값은	⑶ 원의 크기에 상관없이 원주율은 항상 일정하고, 그 값은
Ⅴ.평면도형과 입체도형	원과 부채꼴	2 부채꼴의 호의 길이와 넓이	3.141592653⋯와 같이 한없이 계속되는 소수이다.	⑶ 원의 크기에 상관없이 원주율은 항상 일정하고, 그 값은	⑶ 원의 크기에 상관없이 원주율은 항상 일정하고, 그 값은	2. 원의 둘레의 길이와 넓이반지름의 길이가 r인 원의 둘레의 길이를 l, 넓이를 S라고 하면
Ⅴ.평면도형과 입체도형	원과 부채꼴	2 부채꼴의 호의 길이와 넓이	3.141592653⋯와 같이 한없이 계속되는 소수이다.	⑴ l=2pr	⑴ l=2pr	⑴ l=2pr
Ⅴ.평면도형과 입체도형	원과 부채꼴	2 부채꼴의 호의 길이와 넓이	3.141592653⋯와 같이 한없이 계속되는 소수이다.	⑵ S=prÛ`	⑵ S=prÛ`	⑵ S=prÛ`
Ⅴ.평면도형과 입체도형	원과 부채꼴	2 부채꼴의 호의 길이와 넓이	3.141592653⋯와 같이 한없이 계속되는 소수이다.	⑵ S=prÛ`	⑵ S=prÛ`	예 반지름의 길이가 5`cm인 원의 둘레의 길이 l과 넓이 S를 구하여 보자.l=2p×5=10p(cm), S=p×5`Û =25p(cm`Û )
Ⅴ.평면도형과 입체도형	원과 부채꼴	2 부채꼴의 호의 길이와 넓이	3. 부채꼴의 호의 길이와 넓이반지름의 길이가 r, 중심각의 크기가 xù인 부채꼴의호의 길이를 l, 넓이를 S라고 하면	⑴ l=2pr×;360{ ;	⑴ l=2pr×;360{ ;	⑴ l=2pr×;360{ ;
Ⅴ.평면도형과 입체도형	원과 부채꼴	2 부채꼴의 호의 길이와 넓이	3. 부채꼴의 호의 길이와 넓이반지름의 길이가 r, 중심각의 크기가 xù인 부채꼴의호의 길이를 l, 넓이를 S라고 하면	⑵ S=prÛ`×;36{0;lSxæ rOrr-21\	⑵ S=prÛ`×;36{0;lSxæ rOrr-21\	⑵ S=prÛ`×;36{0;lSxæ rOrr-21\
Ⅴ.평면도형과 입체도형	원과 부채꼴	2 부채꼴의 호의 길이와 넓이	3. 부채꼴의 호의 길이와 넓이반지름의 길이가 r, 중심각의 크기가 xù인 부채꼴의호의 길이를 l, 넓이를 S라고 하면	⑴ (원의 둘레의 길이)=2pr	⑴ (원의 둘레의 길이)=2pr	⑴ (원의 둘레의 길이)=2pr
Ⅴ.평면도형과 입체도형	원과 부채꼴	2 부채꼴의 호의 길이와 넓이	3. 부채꼴의 호의 길이와 넓이반지름의 길이가 r, 중심각의 크기가 xù인 부채꼴의호의 길이를 l, 넓이를 S라고 하면	⑵ (원의 넓이)={;2!;×2pr}×r=pr`Û	⑵ (원의 넓이)={;2!;×2pr}×r=pr`Û	⑵ (원의 넓이)={;2!;×2pr}×r=pr`Û
Ⅴ.평면도형과 입체도형	원과 부채꼴	2 부채꼴의 호의 길이와 넓이	4. 부채꼴의 호의 길이와 넓이 사이의 관계반지름의 길이가 r, 호의 길이가 l인 부채꼴의 넓이를 S라고 하면S=;2;! rl	⑵ (원의 넓이)={;2!;×2pr}×r=pr`Û	⑵ (원의 넓이)={;2!;×2pr}×r=pr`Û	예 다음을 구하여 보자.
Ⅴ.평면도형과 입체도형	원과 부채꼴	2 부채꼴의 호의 길이와 넓이	4. 부채꼴의 호의 길이와 넓이 사이의 관계반지름의 길이가 r, 호의 길이가 l인 부채꼴의 넓이를 S라고 하면S=;2;! rl	⑴ 반지름의 길이가 4`cm이고 중심각의 크기가 45ù인 부채꼴의 호의 길이 l과 넓이 Sl=2p×4×;36¢ °0;=p(cm), S=p×4Û`×;3¢60° ;=2p(cm`Û )	⑴ 반지름의 길이가 4`cm이고 중심각의 크기가 45ù인 부채꼴의 호의 길이 l과 넓이 Sl=2p×4×;36¢ °0;=p(cm), S=p×4Û`×;3¢60° ;=2p(cm`Û )	⑴ 반지름의 길이가 4`cm이고 중심각의 크기가 45ù인 부채꼴의 호의 길이 l과 넓이 Sl=2p×4×;36¢ °0;=p(cm), S=p×4Û`×;3¢60° ;=2p(cm`Û )
Ⅴ.평면도형과 입체도형	원과 부채꼴	2 부채꼴의 호의 길이와 넓이	4. 부채꼴의 호의 길이와 넓이 사이의 관계반지름의 길이가 r, 호의 길이가 l인 부채꼴의 넓이를 S라고 하면S=;2;! rl	⑵ 반지름의 길이가 6`cm이고 호의 길이가 4p`cm인 부채꼴의 넓이 SS=;2;! ×6×4p=12p(cm`Û )	⑵ 반지름의 길이가 6`cm이고 호의 길이가 4p`cm인 부채꼴의 넓이 SS=;2;! ×6×4p=12p(cm`Û )	⑵ 반지름의 길이가 6`cm이고 호의 길이가 4p`cm인 부채꼴의 넓이 SS=;2;! ×6×4p=12p(cm`Û )
