대단원	중단원	소단원	상타	중타	하타	Chunk
Ⅲ.좌표평면과 그래프	좌표평면과 그래프	1 순서쌍과 좌표, 그래프	1. 순서쌍과 좌표	⑴ 수직선 위의 점의 좌표	⑴ 수직선 위의 점의 좌표	⑴ 수직선 위의 점의 좌표
Ⅲ.좌표평면과 그래프	좌표평면과 그래프	1 순서쌍과 좌표, 그래프	1. 순서쌍과 좌표	⑴ 수직선 위의 점의 좌표	① 점의 좌표	① 점의 좌표: 수직선 위의 한 점에 대응하는 수를 그 점의 좌표라 하고,좌표가 a인 점 P를 기호 P(a)로 나타낸다.
Ⅲ.좌표평면과 그래프	좌표평면과 그래프	1 순서쌍과 좌표, 그래프	1. 순서쌍과 좌표	⑴ 수직선 위의 점의 좌표	② 원점(O)	② 원점(O): 수직선 위의 좌표가 0인 점 O
Ⅲ.좌표평면과 그래프	좌표평면과 그래프	1 순서쌍과 좌표, 그래프	1. 순서쌍과 좌표	⑵ 좌표평면두 수직선이 점 O에서 수직으로 만날 때	⑵ 좌표평면두 수직선이 점 O에서 수직으로 만날 때	⑵ 좌표평면두 수직선이 점 O에서 수직으로 만날 때
Ⅲ.좌표평면과 그래프	좌표평면과 그래프	1 순서쌍과 좌표, 그래프	1. 순서쌍과 좌표	⑵ 좌표평면두 수직선이 점 O에서 수직으로 만날 때	① x축	① x축: 가로의 수직선
Ⅲ.좌표평면과 그래프	좌표평면과 그래프	1 순서쌍과 좌표, 그래프	1. 순서쌍과 좌표	⑵ 좌표평면두 수직선이 점 O에서 수직으로 만날 때	② y축	② y축: 세로의 수직선좌표축
Ⅲ.좌표평면과 그래프	좌표평면과 그래프	1 순서쌍과 좌표, 그래프	1. 순서쌍과 좌표	⑵ 좌표평면두 수직선이 점 O에서 수직으로 만날 때	③ 원점	③ 원점: x축과 y축이 만나는 점 O
Ⅲ.좌표평면과 그래프	좌표평면과 그래프	1 순서쌍과 좌표, 그래프	1. 순서쌍과 좌표	⑵ 좌표평면두 수직선이 점 O에서 수직으로 만날 때	④ 좌표평면	④ 좌표평면: 좌표축이 정해져 있는 평면
Ⅲ.좌표평면과 그래프	좌표평면과 그래프	1 순서쌍과 좌표, 그래프	1. 순서쌍과 좌표	⑶ 좌표평면 위의 점의 좌표	⑶ 좌표평면 위의 점의 좌표	⑶ 좌표평면 위의 점의 좌표
Ⅲ.좌표평면과 그래프	좌표평면과 그래프	1 순서쌍과 좌표, 그래프	1. 순서쌍과 좌표	⑶ 좌표평면 위의 점의 좌표	① 순서쌍	① 순서쌍: 두 수 a, b의 순서를 정하여 (a, b)와 같이 짝지어 나타낸 쌍
Ⅲ.좌표평면과 그래프	좌표평면과 그래프	1 순서쌍과 좌표, 그래프	1. 순서쌍과 좌표	⑶ 좌표평면 위의 점의 좌표	① 순서쌍	② 점 P의 좌표가 순서쌍 (a, b)일 때, 기호로 P(a, b)와 같이 나타낸다. 이때 a를 점 P의 x좌표, b를 점 P의 y좌표라고 한다.
