대단원	중단원	소단원	상타	중타	하타	Chunk
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	1 기둥의 겉넓이와 부피	1. 기둥의 겉넓이 	⑴각기둥의겉넓이 	⑴각기둥의겉넓이 	⑴각기둥의겉넓이 :   (각기둥의겉넓이)=(밑넓이)×2+(옆넓이)    (각기둥의겉넓이)=(밑넓이)×2+(밑면의둘레의길이)×(높이)각기둥의전개도
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	1 기둥의 겉넓이와 부피	1. 기둥의 겉넓이 	⑴각기둥의겉넓이 	⑴각기둥의겉넓이 	•(직사각형의 가로의 길이)=(밑면의 둘레의 길이)
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	1 기둥의 겉넓이와 부피	1. 기둥의 겉넓이 	⑴각기둥의겉넓이 	⑴각기둥의겉넓이 	•(직사각형의 세로의 길이)=(각기둥의 높이)참고 각기둥의 옆넓이는 전개도에서 직사각형의 넓이와 같다. 
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	1 기둥의 겉넓이와 부피	1. 기둥의 겉넓이 	⑵원기둥의겉넓이 	⑵원기둥의겉넓이 	⑵원기둥의겉넓이 : 밑면인원의반지름의길이가r이고높이가h인원기둥의겉넓이S는    S=(밑넓이)×2+(옆넓이)=2prÛ`+2prh원기둥의전개도
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	1 기둥의 겉넓이와 부피	1. 기둥의 겉넓이 	⑵원기둥의겉넓이 	⑵원기둥의겉넓이 	•(직사각형의 가로의 길이)=(밑면인 원의 둘레의 길이)
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	1 기둥의 겉넓이와 부피	1. 기둥의 겉넓이 	⑵원기둥의겉넓이 	⑵원기둥의겉넓이 	•(직사각형의 세로의 길이)=(원기둥의 높이)
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	1 기둥의 겉넓이와 부피	2. 기둥의 부피 	⑴각기둥의부피  	⑴각기둥의부피  	⑴각기둥의부피  :밑넓이가S이고높이가h인각기둥의부피
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	1 기둥의 겉넓이와 부피	2. 기둥의 부피 	⑴각기둥의부피  	⑴각기둥의부피  	V는    
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	1 기둥의 겉넓이와 부피	2. 기둥의 부피 	⑴각기둥의부피  	⑴각기둥의부피  	V=(밑넓이)×(높이)=Sh 
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	1 기둥의 겉넓이와 부피	2. 기둥의 부피 	⑵원기둥의부피  	⑵원기둥의부피  	⑵원기둥의부피  :밑면인원의반지름의길이가r이고높이가h인  원기둥의부피
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	1 기둥의 겉넓이와 부피	2. 기둥의 부피 	⑵원기둥의부피  	⑵원기둥의부피  	V는    
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	1 기둥의 겉넓이와 부피	2. 기둥의 부피 	⑵원기둥의부피  	⑵원기둥의부피  	V=(밑넓이)×(높이)=pr`Û h
