대단원	중단원	소단원	상타	중타	하타	Chunk
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	1. 등식	⑴ 등식	⑴ 등식	⑴ 등식: 등호 ‘=’를 사용하여 두 수 또는 두 식이 서로 같음을 나타낸 식
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	1. 등식	⑴ 등식	① 좌변	① 좌변: 등식에서 등호의 왼쪽 부분
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	1. 등식	⑴ 등식	② 우변	② 우변: 등식에서 등호의 오른쪽 부분
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	1. 등식	⑴ 등식	③ 양변	③ 양변: 좌변과 우변을 통틀어 양변이라 한다.
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	1. 등식	⑵ 방정식	⑵ 방정식	⑵ 방정식: 미지수의 값에 따라 참이 되기도 하고 거짓이 되기도 하는 등식
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	1. 등식	⑵ 방정식	① 미지수	① 미지수: 방정식에 들어 있는 문자
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	1. 등식	⑵ 방정식	② 방정식의 해(근)	② 방정식의 해(근): 방정식을 참이 되게 하는 미지수의 값
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	1. 등식	⑵ 방정식	③ 방정식을 푼다	③ 방정식을 푼다: 방정식의 해를 구하는 것
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	1. 등식	⑶ 항등식	⑶ 항등식	⑶ 항등식: 미지수가 어떤 값을 가지더라도 항상 참이 되는 등식
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	2. 등식의 성질	⑴ 등식의 성질	⑴ 등식의 성질	⑴ 등식의 성질
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	2. 등식의 성질	⑴ 등식의 성질	⑴ 등식의 성질	① 등식의 양변에 같은 수를 더하여도 등식은 성립한다.
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	2. 등식의 성질	⑴ 등식의 성질	⑴ 등식의 성질	② 등식의 양변에서 같은 수를 빼어도 등식은 성립한다.
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	2. 등식의 성질	⑴ 등식의 성질	⑴ 등식의 성질	③ 등식의 양변에 같은 수를 곱하여도 등식은 성립한다.
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	2. 등식의 성질	⑴ 등식의 성질	⑴ 등식의 성질	④ 등식의 양변을 0이 아닌 같은 수로 나누어도 등식은 성립한다.
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	2. 등식의 성질	⑵ 등식의 성질을 이용한 방정식의 풀이등식의 성질을 이용하여 주어진 방정식을 ‘x=(수)’의 꼴로 고쳐서 해를구한다.	⑵ 등식의 성질을 이용한 방정식의 풀이등식의 성질을 이용하여 주어진 방정식을 ‘x=(수)’의 꼴로 고쳐서 해를구한다.	⑵ 등식의 성질을 이용한 방정식의 풀이등식의 성질을 이용하여 주어진 방정식을 ‘x=(수)’의 꼴로 고쳐서 해를구한다.
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	3. 일차방정식의 풀이	⑴ 이항	⑴ 이항	⑴ 이항: 등식의 성질을 이용하여 등식의 한 변에 있는 항을 부호를 바꾸어다른 변으로 옮기는 것
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	3. 일차방정식의 풀이	⑵ 일차방정식	⑵ 일차방정식	⑵ 일차방정식: 방정식의 모든 항을 좌변으로 이항하여 정리한 식이‘(일차식)=0’의 꼴이 되는 방정식ax+b=0 (단, a+0)
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	3. 일차방정식의 풀이	⑶ 일차방정식의 풀이	⑶ 일차방정식의 풀이	⑶ 일차방정식의 풀이
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	3. 일차방정식의 풀이	⑶ 일차방정식의 풀이	⑶ 일차방정식의 풀이	① 미지수 x를 포함한 항은 좌변으로, 상수항은 우변으로 이항한다.
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	3. 일차방정식의 풀이	⑶ 일차방정식의 풀이	⑶ 일차방정식의 풀이	② 양변을 정리하여 ax=b(a+0)의 꼴로 고친다.
Ⅱ.문자와 식	일차방정식	1 일차방정식의 풀이	3. 일차방정식의 풀이	⑶ 일차방정식의 풀이	⑶ 일차방정식의 풀이	③ 양변을 x의 계수 a로 나누어 일차방정식의 해 x=;aB;를 구한다.
