대단원	중단원	소단원	상타	중타	하타	Chunk
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	1. 문자의 사용문자를 사용하면 수량 사이의 관계를 식으로 간단히 나타낼 수 있다.	1. 문자의 사용문자를 사용하면 수량 사이의 관계를 식으로 간단히 나타낼 수 있다.	1. 문자의 사용문자를 사용하면 수량 사이의 관계를 식으로 간단히 나타낼 수 있다.	예 한 봉지에 700원 하는 과자 x봉지의 값 (700×x)원
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	2. 기호의 생략	⑴ 곱셈 기호의 생략	⑴ 곱셈 기호의 생략	⑴ 곱셈 기호의 생략
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	2. 기호의 생략	⑴ 곱셈 기호의 생략	① (수)×(문자)	① (수)×(문자): 수는 문자 앞에 쓴다.
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	2. 기호의 생략	⑴ 곱셈 기호의 생략	① (수)×(문자)	예 2×x=2x, 0.1×x=0.1x
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	2. 기호의 생략	⑴ 곱셈 기호의 생략	② 1×(문자), -1×(문자)	② 1×(문자), -1×(문자): 1은 생략한다.
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	2. 기호의 생략	⑴ 곱셈 기호의 생략	② 1×(문자), -1×(문자)	예 a×1=a, (-1)×a=-a
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	2. 기호의 생략	⑴ 곱셈 기호의 생략	③ (문자)×(문자)	③ (문자)×(문자): 보통 알파벳 순서로 쓴다.
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	2. 기호의 생략	⑴ 곱셈 기호의 생략	③ (문자)×(문자)	예 c×a=ac, y×x×a=axy
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	2. 기호의 생략	⑴ 곱셈 기호의 생략	④ 같은 문자끼리의 곱	④ 같은 문자끼리의 곱: 거듭제곱의 꼴로 나타낸다.
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	2. 기호의 생략	⑴ 곱셈 기호의 생략	④ 같은 문자끼리의 곱	예 x×x×x=x`Ü , a×b×a=aÛ`b
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	2. 기호의 생략	⑴ 곱셈 기호의 생략	⑤ 괄호가 있는 식과 수의 곱	⑤ 괄호가 있는 식과 수의 곱: 수를 괄호 앞에 쓴다.
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	2. 기호의 생략	⑴ 곱셈 기호의 생략	⑤ 괄호가 있는 식과 수의 곱	예 (1+x)×5=5(x+1), (a+b)×(-2)=-2(a+b)
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	2. 기호의 생략	⑵ 나눗셈 기호의 생략나눗셈 기호 ÷는 생략하고 분수 꼴로 나타낸다. 즉,　　a÷b=;b;A (단, b+0)	⑵ 나눗셈 기호의 생략나눗셈 기호 ÷는 생략하고 분수 꼴로 나타낸다. 즉,　　a÷b=;b;A (단, b+0)	⑵ 나눗셈 기호의 생략나눗셈 기호 ÷는 생략하고 분수 꼴로 나타낸다. 즉,　　a÷b=;b;A (단, b+0)
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	2. 기호의 생략	⑵ 나눗셈 기호의 생략나눗셈 기호 ÷는 생략하고 분수 꼴로 나타낸다. 즉,　　a÷b=;b;A (단, b+0)	⑵ 나눗셈 기호의 생략나눗셈 기호 ÷는 생략하고 분수 꼴로 나타낸다. 즉,　　a÷b=;b;A (단, b+0)	예 x÷3=x×;3;! =;3{;, x÷(-4)=-;4;{
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	3. 식의 값	⑴ 대입	⑴ 대입	⑴ 대입: 문자를 포함한 식에서 그 문자 대신 수를 넣는 것
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	3. 식의 값	⑵ 식의 값	⑵ 식의 값	⑵ 식의 값: 식의 문자에 어떤 수를 대입하여 구한 값
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	3. 식의 값	⑶ 식의 값을 구하는 방법	⑶ 식의 값을 구하는 방법	⑶ 식의 값을 구하는 방법
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	3. 식의 값	⑶ 식의 값을 구하는 방법	⑶ 식의 값을 구하는 방법	① 문자에 수를 대입할 때는 생략된 곱셈 기호를 다시 쓴다.
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	3. 식의 값	⑶ 식의 값을 구하는 방법	⑶ 식의 값을 구하는 방법	② 문자에 음수를 대입할 때는 반드시 괄호를 사용한다.
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	3. 식의 값	⑶ 식의 값을 구하는 방법	⑶ 식의 값을 구하는 방법	예 x=2일 때, 5x-3의 값과 a=-3일 때, 4a+5의 값을 구하여 보자.
Ⅱ.문자와 식	문자의 사용과 식의 계산	1 문자의 사용과 식의 값	3. 식의 값	⑶ 식의 값을 구하는 방법	⑶ 식의 값을 구하는 방법	•x=2일 때, 5x-3의 값
