대단원	중단원	소단원	상타	중타	하타	Chunk
Ⅴ.평면도형과 입체도형	Ⅴ.평면도형과 입체도형	1 다각형의 성질	1. 다각형	⑴ 다각형	⑴ 다각형	⑴ 다각형: 3개 이상의 선분으로 둘러싸인 평면도형
Ⅴ.평면도형과 입체도형	Ⅴ.평면도형과 입체도형	1 다각형의 성질	1. 다각형	⑴ 다각형	① 변	① 변: 다각형의 각 선분
Ⅴ.평면도형과 입체도형	Ⅴ.평면도형과 입체도형	1 다각형의 성질	1. 다각형	⑴ 다각형	② 꼭짓점	② 꼭짓점: 다각형의 변과 변이 만나는 점
Ⅴ.평면도형과 입체도형	Ⅴ.평면도형과 입체도형	1 다각형의 성질	1. 다각형	⑵ 다각형의 내각과 외각	⑵ 다각형의 내각과 외각	⑵ 다각형의 내각과 외각
Ⅴ.평면도형과 입체도형	Ⅴ.평면도형과 입체도형	1 다각형의 성질	1. 다각형	⑵ 다각형의 내각과 외각	① 내각	① 내각: 다각형에서 이웃하는 두 변으로 이루어진내부의 각
Ⅴ.평면도형과 입체도형	Ⅴ.평면도형과 입체도형	1 다각형의 성질	1. 다각형	⑵ 다각형의 내각과 외각	② 외각	② 외각: 다각형의 한 꼭짓점에서 한 변과 그 변에 이웃한 변의 연장선이 이루는 각참고 다각형의 한 꼭짓점에서 (내각의 크기)+(외각의 크기)=180ù이다.
Ⅴ.평면도형과 입체도형	Ⅴ.평면도형과 입체도형	1 다각형의 성질	2. 정다각형	⑴ 정다각형	⑴ 정다각형	⑴ 정다각형: 모든 변의 길이가 같고, 모든 내각의 크기가 같은 다각형
Ⅴ.평면도형과 입체도형	Ⅴ.평면도형과 입체도형	1 다각형의 성질	2. 정다각형	⑵ 변의 개수에 따라 정삼각형, 정사각형, 정오각형, 정육각형, y,정n각형이라고 한다.다각형선분의 개수가 3개, 4개, 5개,y, n개인 다각형을 각각 삼각형, 사각형, 오각형, y, n각형이라고 한다.다각형에서 한 내각에 대한 외각은 2개이지만, 두 외각은 서로 맞꼭지각으로 그 크기가 같으므로 하나만 생각한다.	⑵ 변의 개수에 따라 정삼각형, 정사각형, 정오각형, 정육각형, y,정n각형이라고 한다.다각형선분의 개수가 3개, 4개, 5개,y, n개인 다각형을 각각 삼각형, 사각형, 오각형, y, n각형이라고 한다.다각형에서 한 내각에 대한 외각은 2개이지만, 두 외각은 서로 맞꼭지각으로 그 크기가 같으므로 하나만 생각한다.	⑵ 변의 개수에 따라 정삼각형, 정사각형, 정오각형, 정육각형, y,정n각형이라고 한다.다각형선분의 개수가 3개, 4개, 5개,y, n개인 다각형을 각각 삼각형, 사각형, 오각형, y, n각형이라고 한다.다각형에서 한 내각에 대한 외각은 2개이지만, 두 외각은 서로 맞꼭지각으로 그 크기가 같으므로 하나만 생각한다.
Ⅴ.평면도형과 입체도형	Ⅴ.평면도형과 입체도형	1 다각형의 성질	3. 다각형의 대각선	⑴ 대각선	⑴ 대각선	⑴ 대각선: 다각형에서 이웃하지 않는 두 꼭짓점을 이은 선분
Ⅴ.평면도형과 입체도형	Ⅴ.평면도형과 입체도형	1 다각형의 성질	3. 다각형의 대각선	⑵ 다각형의 대각선의 개수 (단, n¾4)	⑵ 다각형의 대각선의 개수 (단, n¾4)	⑵ 다각형의 대각선의 개수 (단, n¾4)
Ⅴ.평면도형과 입체도형	Ⅴ.평면도형과 입체도형	1 다각형의 성질	3. 다각형의 대각선	⑵ 다각형의 대각선의 개수 (단, n¾4)	① n각형의 한 꼭짓점에서 그을 수 있는 대각선의 개수	① n각형의 한 꼭짓점에서 그을 수 있는 대각선의 개수:(n-3)개
Ⅴ.평면도형과 입체도형	Ⅴ.평면도형과 입체도형	1 다각형의 성질	3. 다각형의 대각선	⑵ 다각형의 대각선의 개수 (단, n¾4)	②n각형의대각선의총개수	②n각형의대각선의총개수:n(n-3)2개
Ⅴ.평면도형과 입체도형	Ⅴ.평면도형과 입체도형	1 다각형의 성질	3. 다각형의 대각선	⑶ n각형의 한 꼭짓점에서 대각선을 그었을 때 생기는 삼각형의 개수	⑶ n각형의 한 꼭짓점에서 대각선을 그었을 때 생기는 삼각형의 개수	⑶ n각형의 한 꼭짓점에서 대각선을 그었을 때 생기는 삼각형의 개수:(n-2)개참고 다각형의 대각선의 개수다각형한 꼭짓점에서그을 수 있는대각선의 개수(개)대각선의총 개수(개)사각형14(4-3)2=2오각형25(5-3)2=5육각형칠각형346(6-3)2=97(7-3)2=14
