대단원	중단원	소단원	상타	중타	하타	Chunk
Ⅱ.문자와 식	일차방정식	2 일차방정식의 활용	1. 수에 대한 문제	⑴ 연속하는 수에 대한 문제	⑴ 연속하는 수에 대한 문제	⑴ 연속하는 수에 대한 문제
Ⅱ.문자와 식	일차방정식	2 일차방정식의 활용	1. 수에 대한 문제	⑴ 연속하는 수에 대한 문제	① 연속하는 두 정수	① 연속하는 두 정수: x, x+1 또는 x-1, x
Ⅱ.문자와 식	일차방정식	2 일차방정식의 활용	1. 수에 대한 문제	⑴ 연속하는 수에 대한 문제	② 연속하는 세 정수	② 연속하는 세 정수: x-1, x, x+1 또는 x, x+1, x+2
Ⅱ.문자와 식	일차방정식	2 일차방정식의 활용	1. 수에 대한 문제	⑴ 연속하는 수에 대한 문제	③ 연속하는 세 홀수(짝수)	③ 연속하는 세 홀수(짝수): x-2, x, x+2 또는 x, x+2, x+4
Ⅱ.문자와 식	일차방정식	2 일차방정식의 활용	1. 수에 대한 문제	⑵ 두 자리의 자연수 자리 바꾸기 문제	⑵ 두 자리의 자연수 자리 바꾸기 문제	⑵ 두 자리의 자연수 자리 바꾸기 문제
Ⅱ.문자와 식	일차방정식	2 일차방정식의 활용	1. 수에 대한 문제	⑵ 두 자리의 자연수 자리 바꾸기 문제	⑵ 두 자리의 자연수 자리 바꾸기 문제	십의 자리의 숫자가 x, 일의 자리의 숫자가 y인 두 자리의 자연수: 10x+y
Ⅱ.문자와 식	일차방정식	2 일차방정식의 활용	1. 수에 대한 문제	⑵ 두 자리의 자연수 자리 바꾸기 문제	⑵ 두 자리의 자연수 자리 바꾸기 문제	이 자연수의 일의 자리와 십의 자리의 숫자를 바꾼 수: 10y+x
Ⅱ.문자와 식	일차방정식	2 일차방정식의 활용	2. 나이에 대한 문제	⑴ (x년 후의 나이)=(올해 나이)+x	⑴ (x년 후의 나이)=(올해 나이)+x	⑴ (x년 후의 나이)=(올해 나이)+x
Ⅱ.문자와 식	일차방정식	2 일차방정식의 활용	2. 나이에 대한 문제	⑵ (x년 전의 나이)=(올해 나이)-x	⑵ (x년 전의 나이)=(올해 나이)-x	⑵ (x년 전의 나이)=(올해 나이)-x
Ⅱ.문자와 식	일차방정식	2 일차방정식의 활용	3. 원가, 정가에 대한 문제	⑴ (정가)=(원가)+(이익)	⑴ (정가)=(원가)+(이익)	⑴ (정가)=(원가)+(이익)
Ⅱ.문자와 식	일차방정식	2 일차방정식의 활용	3. 원가, 정가에 대한 문제	⑵ (판매 금액)=(정가)-(할인 금액)(실제 이익)=(판매 금액)-(원가)	⑵ (판매 금액)=(정가)-(할인 금액)(실제 이익)=(판매 금액)-(원가)	⑵ (판매 금액)=(정가)-(할인 금액)(실제 이익)=(판매 금액)-(원가)
Ⅱ.문자와 식	일차방정식	2 일차방정식의 활용	3. 원가, 정가에 대한 문제	⑶ 원가 x원에 a %의 이익을 붙인 정가	⑶ 원가 x원에 a %의 이익을 붙인 정가	⑶ 원가 x원에 a %의 이익을 붙인 정가: {1+;100A ;}x원정가 y원을 b % 할인한 판매 금액: {1-;100B ;}y원
Ⅱ.문자와 식	일차방정식	2 일차방정식의 활용	4. 거리, 속력, 시간에 대한 문제	⑴ (거리)=(속력)×(시간)	⑴ (거리)=(속력)×(시간)	⑴ (거리)=(속력)×(시간)
Ⅱ.문자와 식	일차방정식	2 일차방정식의 활용	4. 거리, 속력, 시간에 대한 문제	⑵(속력)=(거리)(시간),(시간)=(거리)(속력)÷÷\	⑵(속력)=(거리)(시간),(시간)=(거리)(속력)÷÷\	⑵(속력)=(거리)(시간),(시간)=(거리)(속력)÷÷\
