대단원	중단원	소단원	상타	중타	하타	Chunk
Ⅰ.수와연산	소인수분해	1 소인수분해	1. 소수와 합성수 	⑴소수	⑴소수	⑴소수: 1보다 큰 자연수 중에서 1과 자기 자신만을 약수로 갖는 수 
Ⅰ.수와연산	소인수분해	1 소인수분해	1. 소수와 합성수 	⑵ 소수의 약수는 2개이다. 	⑵ 소수의 약수는 2개이다. 	⑵ 소수의 약수는 2개이다. 
Ⅰ.수와연산	소인수분해	1 소인수분해	1. 소수와 합성수 	⑶소 수 중 짝수는 2뿐이고, 	⑶소 수 중 짝수는 2뿐이고, 	⑶소 수 중 짝수는 2뿐이고, 
Ⅰ.수와연산	소인수분해	1 소인수분해	1. 소수와 합성수 	⑶소 수 중 짝수는 2뿐이고, 	⑶소 수 중 짝수는 2뿐이고, 	2 이외의 소수는 모두 홀수이다. 
Ⅰ.수와연산	소인수분해	1 소인수분해	1. 소수와 합성수 	⑷합성수	⑷합성수	⑷합성수: 1보다 큰 자연수 중에서 소수가 아닌 수 
Ⅰ.수와연산	소인수분해	1 소인수분해	1. 소수와 합성수 	⑸합 성수의 약수는 3개 이상이다. 	⑸합 성수의 약수는 3개 이상이다. 	⑸합 성수의 약수는 3개 이상이다. 
Ⅰ.수와연산	소인수분해	1 소인수분해	1. 소수와 합성수 	⑹ 1은 약수가 	⑹ 1은 약수가 	⑹ 1은 약수가 
Ⅰ.수와연산	소인수분해	1 소인수분해	1. 소수와 합성수 	⑹ 1은 약수가 	⑹ 1은 약수가 	1 하나밖에 없기 때문에 소수도 아니고 합성수도 아니다.
Ⅰ.수와연산	소인수분해	1 소인수분해	2. 소인수분해 	⑴거듭제곱	⑴거듭제곱	⑴거듭제곱: 같은 수나 문자를 여러 번 곱한 것 
Ⅰ.수와연산	소인수분해	1 소인수분해	2. 소인수분해 	⑵밑	⑵밑	⑵밑: 거듭제곱에서 곱한 수 또는 문자 
Ⅰ.수와연산	소인수분해	1 소인수분해	2. 소인수분해 	⑶지수	⑶지수	⑶지수: 거듭제곱에서 밑을 곱한 횟수 
Ⅰ.수와연산	소인수분해	1 소인수분해	2. 소인수분해 	⑷인수	⑷인수	⑷인수: 자연수 a, b, c에 대하여 a=b×c일 때, b, c를 a의 인수라고 한다. 
Ⅰ.수와연산	소인수분해	1 소인수분해	2. 소인수분해 	⑸소인수	⑸소인수	⑸소인수: 인수 중에서 소수인 수 
Ⅰ.수와연산	소인수분해	1 소인수분해	2. 소인수분해 	⑹소인수분해	⑹소인수분해	⑹소인수분해: 자연수를 소인수들만의 곱으로 나타내는 것
Ⅰ.수와연산	소인수분해	1 소인수분해	3. 소인수분해하는 방법	⑹소인수분해	⑹소인수분해	➊ 나누어떨어지는 소수는 차례로 나눈다.
Ⅰ.수와연산	소인수분해	1 소인수분해	3. 소인수분해하는 방법	⑹소인수분해	⑹소인수분해	➋ 몫이 소수가 될 때까지 나눈다.
Ⅰ.수와연산	소인수분해	1 소인수분해	3. 소인수분해하는 방법	⑹소인수분해	⑹소인수분해	➌ 나눈 소수들과 마지막 몫을 곱셈 기호 ×로 연결한다.
Ⅰ.수와연산	소인수분해	1 소인수분해	4. 소인수분해를 이용하여 약수 구하기	⑹소인수분해	⑹소인수분해	자연수 A가 A=aµ``×b`Ç (a, b는 서로 다른 소수, m, n은 자연수)으로 소인수분해될 때
Ⅰ.수와연산	소인수분해	1 소인수분해	4. 소인수분해를 이용하여 약수 구하기	⑴ A의 약수는 a`µ `의 약수 1, a, aÛ`, y, aµ``과 bÇ`의 약수 1, b, bÛ`, y, bÇ`을각각 곱하여 구한다.(m+1)개(n+1)개 	⑴ A의 약수는 a`µ `의 약수 1, a, aÛ`, y, aµ``과 bÇ`의 약수 1, b, bÛ`, y, bÇ`을각각 곱하여 구한다.(m+1)개(n+1)개 	⑴ A의 약수는 a`µ `의 약수 1, a, aÛ`, y, aµ``과 bÇ`의 약수 1, b, bÛ`, y, bÇ`을각각 곱하여 구한다.(m+1)개(n+1)개 
Ⅰ.수와연산	소인수분해	1 소인수분해	4. 소인수분해를 이용하여 약수 구하기	⑵A의약수의개수	⑵A의약수의개수	⑵A의약수의개수: (m+1)×(n+1)(개)
Ⅰ.수와연산	소인수분해	1 소인수분해	4. 소인수분해를 이용하여 약수 구하기	⑵A의약수의개수	⑵A의약수의개수	예 18의 약수의 개수를 구하여 보자.18=2×3`Û 이므로 18의 약수는 2의3`Û 의 약수: (2+1)개약수 1, 2와 3`Û 의 약수 1, 3, 3`Û 을 각각 곱한 1, 2, 3, 6, 9, 18이다.즉, 18의 약수의 개수는2의 약수:(1+1)개[×1211×1=12×1=231×3=32×3=63`Û1×3`Û =92×3`Û =18(1+1)×(2+1)=6(개)이다.소수: 2, 3, 5, 7, y합성수: 4, 6, 8, 9, y2는 소수 중 가장 작은 수이다.지수2×2×2×2×2= 2`Þ`밑2`Ú 은 2를 한 번만 곱한 것으로 1을 생략하고 쓴다.12를 두 가지 방법으로 소인수분해하기[방법 1]소수로 2>²12계속나눈다.2>² 6 3 12=2`Û ×3몫이 소수가될 때까지![방법 2]12    2    2      6    3 12=2Û`×3가지의 끝이소수가될 때까지!
