대단원	중단원	소단원	상타	중타	하타	Chunk
Ⅳ.기본 도형	작도와 합동	1 간단한 도형의 작도	1. 간단한 도형의 작도	⑴ 작도	⑴ 작도	⑴ 작도: 눈금 없는 자와 컴퍼스만을 사용하여 도형을 그리는 것
Ⅳ.기본 도형	작도와 합동	1 간단한 도형의 작도	1. 간단한 도형의 작도	⑵ 길이가 같은 선분의 작도❶ 눈금 없는 자를 사용하여 직선을긋고, 이 직선 위에 한 점 P를 잡 A는다.BPQ❷ 컴퍼스를 사용하여 AB의Ó 길이를 잰다.❸ 점 P를 중심으로 반지름의 길이가 AB인Ó 원을 그려 직선과의 교점을 Q라고 한다. 이때 PQ의Ó 길이와 AB의Ó 길이는 같다.	⑵ 길이가 같은 선분의 작도❶ 눈금 없는 자를 사용하여 직선을긋고, 이 직선 위에 한 점 P를 잡 A는다.BPQ❷ 컴퍼스를 사용하여 AB의Ó 길이를 잰다.❸ 점 P를 중심으로 반지름의 길이가 AB인Ó 원을 그려 직선과의 교점을 Q라고 한다. 이때 PQ의Ó 길이와 AB의Ó 길이는 같다.	⑵ 길이가 같은 선분의 작도❶ 눈금 없는 자를 사용하여 직선을긋고, 이 직선 위에 한 점 P를 잡 A는다.BPQ❷ 컴퍼스를 사용하여 AB의Ó 길이를 잰다.❸ 점 P를 중심으로 반지름의 길이가 AB인Ó 원을 그려 직선과의 교점을 Q라고 한다. 이때 PQ의Ó 길이와 AB의Ó 길이는 같다.
Ⅳ.기본 도형	작도와 합동	1 간단한 도형의 작도	1. 간단한 도형의 작도	⑶ 크기가 같은 각의 작도❶ 점 O를 중심으로 하는 원을 그려 OX³, OY³와의 교점을 각각XACA, B라고 한다.❷ 점 P를 중심으로 하고 반지름 OBYPDQ의 길이가 OA인Ó 원을 그려 PQ와³ 의 교점을 D라고 한다.❸ AB의Ó 길이를 잰다.❹ 점 D를 중심으로 하고 반지름의 길이가 AB인Ó 원을 그려 ❷에서 그린 원과의 교점을 C라고 한다.❺ PC를³ 그린다. 이때 ∠CPD의 크기와 ∠XOY의 크기는 같다.	⑶ 크기가 같은 각의 작도❶ 점 O를 중심으로 하는 원을 그려 OX³, OY³와의 교점을 각각XACA, B라고 한다.❷ 점 P를 중심으로 하고 반지름 OBYPDQ의 길이가 OA인Ó 원을 그려 PQ와³ 의 교점을 D라고 한다.❸ AB의Ó 길이를 잰다.❹ 점 D를 중심으로 하고 반지름의 길이가 AB인Ó 원을 그려 ❷에서 그린 원과의 교점을 C라고 한다.❺ PC를³ 그린다. 이때 ∠CPD의 크기와 ∠XOY의 크기는 같다.	⑶ 크기가 같은 각의 작도❶ 점 O를 중심으로 하는 원을 그려 OX³, OY³와의 교점을 각각XACA, B라고 한다.❷ 점 P를 중심으로 하고 반지름 OBYPDQ의 길이가 OA인Ó 원을 그려 PQ와³ 의 교점을 D라고 한다.❸ AB의Ó 길이를 잰다.❹ 점 D를 중심으로 하고 반지름의 길이가 AB인Ó 원을 그려 ❷에서 그린 원과의 교점을 C라고 한다.❺ PC를³ 그린다. 이때 ∠CPD의 크기와 ∠XOY의 크기는 같다.
Ⅳ.기본 도형	작도와 합동	1 간단한 도형의 작도	2. 삼각형의 작도	⑴ 삼각형 ABC	⑴ 삼각형 ABC	⑴ 삼각형 ABC: 세 점 A, B, C를 꼭짓점으로하는 삼각형을 삼각형 ABC라고 한다.기호: △ABC
Ⅳ.기본 도형	작도와 합동	1 간단한 도형의 작도	2. 삼각형의 작도	⑴ 삼각형 ABC	① 대변	① 대변: 한 각과 마주 보는 변
Ⅳ.기본 도형	작도와 합동	1 간단한 도형의 작도	2. 삼각형의 작도	⑴ 삼각형 ABC	② 대각	② 대각: 한 변과 마주 보는 각
Ⅳ.기본 도형	작도와 합동	1 간단한 도형의 작도	2. 삼각형의 작도	⑵ 삼각형의 세 변의 길이 사이의 관계삼각형에서 한 변의 길이는 나머지 두 변의 길이의 합보다 작다.	⑵ 삼각형의 세 변의 길이 사이의 관계삼각형에서 한 변의 길이는 나머지 두 변의 길이의 합보다 작다.	⑵ 삼각형의 세 변의 길이 사이의 관계삼각형에서 한 변의 길이는 나머지 두 변의 길이의 합보다 작다.
Ⅳ.기본 도형	작도와 합동	1 간단한 도형의 작도	2. 삼각형의 작도	⑶ 삼각형의 작도다음의 3가지 경우에 주어진 삼각형과 합동인 삼각형을 작도할 수 있다.	⑶ 삼각형의 작도다음의 3가지 경우에 주어진 삼각형과 합동인 삼각형을 작도할 수 있다.	⑶ 삼각형의 작도다음의 3가지 경우에 주어진 삼각형과 합동인 삼각형을 작도할 수 있다.
Ⅳ.기본 도형	작도와 합동	1 간단한 도형의 작도	2. 삼각형의 작도	⑶ 삼각형의 작도다음의 3가지 경우에 주어진 삼각형과 합동인 삼각형을 작도할 수 있다.	⑶ 삼각형의 작도다음의 3가지 경우에 주어진 삼각형과 합동인 삼각형을 작도할 수 있다.	① 세 변의 길이가 주어질 때
Ⅳ.기본 도형	작도와 합동	1 간단한 도형의 작도	2. 삼각형의 작도	⑶ 삼각형의 작도다음의 3가지 경우에 주어진 삼각형과 합동인 삼각형을 작도할 수 있다.	⑶ 삼각형의 작도다음의 3가지 경우에 주어진 삼각형과 합동인 삼각형을 작도할 수 있다.	② 두 변의 길이와 그 끼인각의 크기가 주어질 때
Ⅳ.기본 도형	작도와 합동	1 간단한 도형의 작도	2. 삼각형의 작도	⑶ 삼각형의 작도다음의 3가지 경우에 주어진 삼각형과 합동인 삼각형을 작도할 수 있다.	⑶ 삼각형의 작도다음의 3가지 경우에 주어진 삼각형과 합동인 삼각형을 작도할 수 있다.	③ 한 변의 길이와 그 양 끝 각의 크기가 주어질 때
