대단원	중단원	소단원	상타	중타	하타	Chunk
Ⅰ.수와 연산	정수와 유리수	2 정수와 유리수의 계산	1. 유리수의 덧셈과 뺄셈 	⑴유리수의덧셈  	⑴유리수의덧셈  	⑴유리수의덧셈  
Ⅰ.수와 연산	정수와 유리수	2 정수와 유리수의 계산	1. 유리수의 덧셈과 뺄셈 	⑴유리수의덧셈  	① 부호가 같은 두 수의 덧셈	① 부호가 같은 두 수의 덧셈: 두 수의 절댓값의 합에 공통인 부호를 붙인다.공통인 부호공통인 부호
Ⅰ.수와 연산	정수와 유리수	2 정수와 유리수의 계산	1. 유리수의 덧셈과 뺄셈 	⑴유리수의덧셈  	① 부호가 같은 두 수의 덧셈	예 (+2)+(+3)=+(2+3)=+5, (-2)+(-3)=-(2+3)=-5절댓값의 합절댓값의 합  
Ⅰ.수와 연산	정수와 유리수	2 정수와 유리수의 계산	1. 유리수의 덧셈과 뺄셈 	⑴유리수의덧셈  	② 부호가 다른 두 수의 덧셈	② 부호가 다른 두 수의 덧셈: 두 수의 절댓값의 차에 절댓값이 큰 수의부호를 붙인다.절댓값이 큰 수의 부호절댓값이 큰 수의 부호
Ⅰ.수와 연산	정수와 유리수	2 정수와 유리수의 계산	1. 유리수의 덧셈과 뺄셈 	⑴유리수의덧셈  	② 부호가 다른 두 수의 덧셈	예 (-2)+(+3)=+(3-2)=+1, (+2)+(-3)=-(3-2)=-1절댓값의 차절댓값의 차 
Ⅰ.수와 연산	정수와 유리수	2 정수와 유리수의 계산	1. 유리수의 덧셈과 뺄셈 	⑵유리수의덧셈의계산법칙  	⑵유리수의덧셈의계산법칙  	⑵유리수의덧셈의계산법칙  
Ⅰ.수와 연산	정수와 유리수	2 정수와 유리수의 계산	1. 유리수의 덧셈과 뺄셈 	⑵유리수의덧셈의계산법칙  	① 덧셈의 교환법칙	① 덧셈의 교환법칙: a+b=b+a  
Ⅰ.수와 연산	정수와 유리수	2 정수와 유리수의 계산	1. 유리수의 덧셈과 뺄셈 	⑵유리수의덧셈의계산법칙  	② 덧셈의 결합법칙	② 덧셈의 결합법칙: (a+b)+c=a+(b+c) 
Ⅰ.수와 연산	정수와 유리수	2 정수와 유리수의 계산	1. 유리수의 덧셈과 뺄셈 	⑶유리수의뺄셈	⑶유리수의뺄셈	⑶유리수의뺄셈: 빼는 수의 부호를 바꾸어 덧셈으로 고쳐서 계산한다.부호를 바꾼다.부호를 바꾼다.
Ⅰ.수와 연산	정수와 유리수	2 정수와 유리수의 계산	1. 유리수의 덧셈과 뺄셈 	⑶유리수의뺄셈	⑶유리수의뺄셈	예 (+5)-(+3)=(+5)+(-3)=+2, (+5)-(-3)=(+5)+(+3)=+8덧셈으로 고친다.덧셈으로 고친다.
Ⅰ.수와 연산	정수와 유리수	2 정수와 유리수의 계산	2. 유리수의 곱셈과 나눗셈 	⑴유리수의곱셈과나눗셈  	⑴유리수의곱셈과나눗셈  	⑴유리수의곱셈과나눗셈  
Ⅰ.수와 연산	정수와 유리수	2 정수와 유리수의 계산	2. 유리수의 곱셈과 나눗셈 	⑴유리수의곱셈과나눗셈  	① 부호가 같은 두 수의 곱셈(나눗셈)	① 부호가 같은 두 수의 곱셈(나눗셈): 두 수의 절댓값의 곱(나눗셈의몫)에 양의 부호 +를 붙인다.  
Ⅰ.수와 연산	정수와 유리수	2 정수와 유리수의 계산	2. 유리수의 곱셈과 나눗셈 	⑴유리수의곱셈과나눗셈  	② 부호가 다른 두 수의 곱셈(나눗셈)	② 부호가 다른 두 수의 곱셈(나눗셈): 두 수의 절댓값의 곱(나눗셈의몫)에 음의 부호 -를 붙인다. 
Ⅰ.수와 연산	정수와 유리수	2 정수와 유리수의 계산	2. 유리수의 곱셈과 나눗셈 	⑵유 리수의곱셈의계산법칙  	⑵유 리수의곱셈의계산법칙  	⑵유 리수의곱셈의계산법칙  
Ⅰ.수와 연산	정수와 유리수	2 정수와 유리수의 계산	2. 유리수의 곱셈과 나눗셈 	⑵유 리수의곱셈의계산법칙  	① 곱셈의 교환법칙	① 곱셈의 교환법칙: a×b=b×a  
Ⅰ.수와 연산	정수와 유리수	2 정수와 유리수의 계산	2. 유리수의 곱셈과 나눗셈 	⑵유 리수의곱셈의계산법칙  	② 곱셈의 결합법칙	② 곱셈의 결합법칙: a×(b×c)=(a×b)×c 
Ⅰ.수와 연산	정수와 유리수	2 정수와 유리수의 계산	2. 유리수의 곱셈과 나눗셈 	⑶역수	⑶역수	⑶역수: 두 수의 곱이 1이 될 때, 한 수를 다른 수의 역수라고 한다. 
Ⅰ.수와 연산	정수와 유리수	2 정수와 유리수의 계산	2. 유리수의 곱셈과 나눗셈 	⑷역 수를이용한나눗셈	⑷역 수를이용한나눗셈	⑷역 수를이용한나눗셈: 나누는 수의 역수를 곱해서 계산한다.
Ⅰ.수와 연산	정수와 유리수	2 정수와 유리수의 계산	2. 유리수의 곱셈과 나눗셈 	⑷역 수를이용한나눗셈	⑷역 수를이용한나눗셈	예 5÷;3;@ =5×;2
